seller_id,total_revenue,orders_quantity,distinct_products_sold,days_since_last_sale,days_since_first_sale,months_since_last_sale,months_since_first_sale,orders_per_month,revenue_per_month,value_rank,frequency_rank,value_frequency_segment,seller_status
0015a82c2db000af6aaaf3ae2ecb0532,2685.0,3,3,348 days,369 days,11.6,12.3,0.24390243902439024,218.29268292682926,0.6675282714054928,0.19660743134087239,HIGH VALUE,INACTIVE
001cca7ae9ae17fb1caed9dfb1094831,25080.03000000001,239,200,81 days,604 days,2.7,20.133333333333333,11.870860927152318,1245.6968543046362,0.9399030694668821,0.9560581583198707,SUPER PRODUCTIVE,ACTIVE
001e6ad469a905060d959994f1b41e4f,250.0,1,1,55 days,55 days,1.8333333333333333,1.8333333333333333,0.5454545454545455,136.36363636363637,0.5602584814216478,0.3544426494345719,HIGH VALUE,NEW SELLER
002100f778ceb8431b7a1020ff7ab48f,1234.5,55,51,172 days,382 days,5.733333333333333,12.733333333333333,4.319371727748691,96.95026178010473,0.4849757673667205,0.8520193861066235,HIGH FREQUENCY,ACTIVE
003554e2dce176b5555353e4f3555ac8,120.0,1,1,290 days,290 days,9.666666666666666,9.666666666666666,0.10344827586206898,12.413793103448276,0.13117932148626818,0.08109854604200323,LOW VALUE LOW FREQUENCY,ACTIVE
004c9cd9d87a3c30c522c48c4fc07416,19578.72000000001,169,157,149 days,611 days,4.966666666666667,20.366666666666667,8.297872340425531,961.3119476268416,0.9237479806138934,0.9327948303715671,SUPER PRODUCTIVE,ACTIVE
00720abe85ba0859807595bbf045a33b,1007.4999999999998,26,13,59 days,247 days,1.9666666666666666,8.233333333333333,3.1578947368421058,122.36842105263156,0.5366720516962843,0.8012924071082391,PRODUCTIVE,ACTIVE
00ab3eff1b5192e5f1a63bcecfee11c8,98.0,1,1,562 days,562 days,18.733333333333334,18.733333333333334,0.05338078291814946,5.2313167259786475,0.05718901453957997,0.022778675282714055,LOW VALUE LOW FREQUENCY,INACTIVE
00d8b143d12632bad99c0ad66ad52825,86.0,1,1,194 days,194 days,6.466666666666667,6.466666666666667,0.15463917525773196,13.298969072164947,0.13861066235864297,0.1247172859450727,LOW VALUE LOW FREQUENCY,ACTIVE
00ee68308b45bc5e2660cd833c3f81cc,20260.0,172,135,42 days,377 days,1.4,12.566666666666666,13.687002652519894,1612.2015915119364,0.9579967689822294,0.962843295638126,SUPER PRODUCTIVE,ACTIVE
